"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"adam thielen","WR","MIN","2018","13","28","1","5","10","5.6","9"
"vance mcdonald","TE","PIT","2018","13","28","0","4","7","7.0","10"
"sterling shepard","WR","NYG","2018","13","28","0","4","6","7.0","9"
"robert foster","WR","BUF","2018","13","27","0","1","3","27.0","27"
"rob gronkowski","TE","NE","2018","13","26","0","3","4","8.7","15"
"theo riddick","RB","DET","2018","13","26","0","3","4","8.7","12"
"breshad perriman","WR","CLE","2018","13","26","0","2","2","13.0","19"
"julian edelman","WR","NE","2018","13","25","0","3","8","8.3","13"
"randall cobb","WR","GB","2018","13","25","0","3","5","8.3","9"
"brice butler","WR","MIA","2018","13","25","0","4","4","6.3","14"
"tj jones","WR","DET","2018","13","25","0","1","1","25.0","25"
"seth roberts","WR","OAK","2018","13","25","0","3","6","8.3","16"
"scott simonson","TE","NYG","2018","13","25","0","2","3","12.5","15"
"chris conley","WR","KC","2018","13","25","1","3","7","8.3","18"
"dede westbrook","WR","JAX","2018","13","25","0","3","5","8.3","23"
"doug baldwin","WR","SEA","2018","13","22","1","2","4","11.0","21"
"dalvin cook","RB","MIN","2018","13","22","0","8","10","2.8","5"
"austin ekeler","RB","LAC","2018","13","22","0","5","8","4.4","10"
"calvin ridley","WR","ATL","2018","13","22","0","3","5","7.3","10"
"rex burkhead","RB","NE","2018","13","21","0","2","2","10.5","15"
"jordan reed","TE","WAS","2018","13","21","0","4","5","5.3","7"
"chris moore","S","BAL","2018","13","21","0","1","1","21.0","21"
"saquon barkley","RB","NYG","2018","13","21","0","3","4","7.0","17"
"trent sherfield","WR","ARI","2018","13","21","0","1","3","21.0","21"
"chris hogan","WR","NE","2018","13","20","0","2","2","10.0","18"
"kyle juszczyk","RB","SF","2018","13","20","0","3","3","6.7","7"
"kelvin benjamin","WR","BUF","2018","13","20","0","2","4","10.0","15"
"dan arnold","WR","NO","2018","13","20","0","2","2","10.0","15"
"jaylen samuels","RB","PIT","2018","13","20","1","3","3","6.7","10"
"emmanuel sanders","WR","DEN","2018","13","19","0","4","6","4.8","14"
"james oshaughnessy","TE","JAX","2018","13","19","0","2","2","9.5","14"
"tyler higbee","TE","LAR","2018","13","19","0","2","4","9.5","16"
"seth devalve","TE","CLE","2018","13","19","0","1","2","19.0","19"
"josh reynolds","WR","LAR","2018","13","19","0","2","5","9.5","14"
"marquez valdes scantling","WR","GB","2018","13","19","0","2","7","9.5","11"
"justin jackson 2","RB","LAC","2018","13","19","0","1","1","19.0","19"
"julio jones","WR","ATL","2018","13","18","0","2","8","9.0","9"
"chris thompson","RB","WAS","2018","13","18","0","3","5","6.0","9"
"jordan leggett","TE","NYJ","2018","13","18","0","2","2","9.0","10"
"taylor gabriel","WR","CHI","2018","13","17","0","3","7","5.7","7"
"aaron jones 2","RB","GB","2018","13","16","0","4","4","4.0","6"
"keelan cole","WR","JAX","2018","13","16","0","2","2","8.0","11"
"zach pascal","WR","IND","2018","13","16","0","1","1","16.0","16"
"taquan mizzell","RB","CHI","2018","13","16","0","2","2","8.0","9"
"marcell ateman","WR","OAK","2018","13","16","1","2","4","8.0","9"
"vernon davis","TE","WAS","2018","13","15","0","2","2","7.5","9"
"dontrelle inman","WR","IND","2018","13","14","0","2","6","7.0","8"
"tyrell williams","WR","LAC","2018","13","14","0","1","2","14.0","14"
"james conner","RB","PIT","2018","13","14","0","3","4","4.7","10"
"jamaal williams","RB","GB","2018","13","14","0","4","4","3.5","10"
"greg olsen","TE","CAR","2018","13","13","0","1","1","13.0","13"
"laquon treadwell","WR","MIN","2018","13","13","0","2","2","6.5","9"
"kenyan drake","RB","MIA","2018","13","13","1","2","4","6.5","10"
